base_project,folder,project_path,filename,summary_human,summary_nlg,bleu_4,nist_4,rouge_l_f,frugal_score
AbdurRKhalid,Observer,AbdurRKhalid/Behavioral/Observer/ConcreteObserver,EmailNotificationListener.java,The EmailNotificationListener is a concerte observer as it receives notifications about events related to file operations. It overrides the update method that sends email notifications.,"observer: EmailNotificationListener acts as an observer, which updates String parameter of eventType, File parameter of file. It is a public class that extends EventListener and that implements EventListener. The only method of EmailNotificationListener is update (void). No methods call update and update calls no methods.   visitor: EmailNotificationListener acts as a visitor for element EventManager, which overrides update method of EventManager, which updates String parameter of eventType, File parameter of file. It is a public class that extends EventListener and that implements EventListener. The only method of EmailNotificationListener is update (void). No methods call update and update calls no methods.",0.01552614960080184,0.6163028955236984,0.14516129032258066,0.6980803608894348
AbdurRKhalid,Observer,AbdurRKhalid/Behavioral/Observer/ConcreteObserver,LogOpenListener.java,The LogOpenListener is a Concrete Observer designed to log events related to file operations as it updates the logger file.,"observer: LogOpenListener acts as an observer, which updates String parameter of eventType, File parameter of file. It is a public class that extends EventListener and that implements EventListener. The only method of LogOpenListener is update (void). No methods call update and update calls no methods.   visitor: LogOpenListener acts as a visitor for element EventManager, which overrides update method of EventManager, which updates String parameter of eventType, File parameter of file. It is a public class that extends EventListener and that implements EventListener. The only method of LogOpenListener is update (void). No methods call update and update calls no methods.",0.013208609901271703,0.4398101923612221,0.1176470588235294,0.6196582913398743
AbdurRKhalid,Observer,AbdurRKhalid/Behavioral/Observer/ConcretePublisher,Editor.java,The Editor class acts as a Concrete Publisher designed to trigger notifications about file operations like opening and saving files through a notify method.,It is a public class. The 2 methods of Editor are openFile (void) and saveFile (void). No methods call openFile and openFile calls no methods. No methods call saveFile and saveFile calls no methods.,0.01627688800647872,0.6448474265766407,0.13793103448275862,0.5123917460441589
AbdurRKhalid,Observer,AbdurRKhalid/Behavioral/Observer/Observer,EventListener.java,The EventListener interface defines a contract for Observers. It establishes the structure that any concrete observer (such as email or log listeners) must implement to handle event notifications from a Publisher.,"observer: EventListener acts as an observer for publisher EventManager, which is inherited by EmailNotificationListener, LogOpenListener, which updates String parameter of eventType, File parameter of file. It is a public interface. The only method of EventListener is update (void). No methods call update and update calls no methods.   visitor: EventListener acts as a visitor for element EventManager, which is inherited by EmailNotificationListener, LogOpenListener, which updates String parameter of eventType, File parameter of file. It is a public interface. The only method of EventListener is update (void). No methods call update and update calls no methods.",0.00696134523523485,0.5371931852580386,0.096,0.6062818169593811
AbdurRKhalid,Observer,AbdurRKhalid/Behavioral/Observer/Publisher,EventManager.java,"The EventManager class acts as a Publisher, responsible for managing and notifying subscribers about specific events.","observer: EventManager acts as a publisher for observer EventListener, which is inherited by, which subscribes String parameter of eventType, EventListener parameter of listener, which unsubscribes String parameter of eventType, EventListener parameter of listener, which notifies String parameter of eventType, File parameter of file. It is a public class. The 3 methods of EventManager are subscribe (void), unsubscribe (void) and notify (void). No methods call subscribe and subscribe calls no methods. No methods call unsubscribe and unsubscribe calls no methods. No methods call notify and notify calls no methods.   visitor: EventManager acts as an element for visitor EventListener, which is inherited by, which subscribes String parameter of eventType, EventListener parameter of listener, which unsubscribes String parameter of eventType, EventListener parameter of listener, which notifies String parameter of eventType, File parameter of file. It is a public class. The 3 methods of EventM...",0.01943292529817186,0.2553191489361702,0.11464968152866241,0.5603762865066528
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,Computer.java,"The Computer class represents a Concrete Element of Visitor, which allows operations to be performed on Mouse, Keyboard and monitor components by an external visitor.","visitor: Computer acts as an element for visitor, which overrides accept method of ComputerPart. Computer acts as an element for visitor ComputerPartVisitor, which is inherited by, which accepts ComputerPartVisitor parameter of computerPartVisitor. It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Computer is accept (void). No methods call accept and accept calls 2 methods : visit method of class ComputerPartVisitor and accept method of class ComputerPart.",0.0156995903606132,0.7602827608935965,0.12371134020618556,0.581965446472168
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,ComputerPart.java,"The ComputerPart interface defines a Component role in the Visitor and provides a contract for all concrete components like Mouse, Keyboard, Monitor, and Computer to accept a visitor, allowing external operations to be applied to them.","visitor: ComputerPart acts as an element for visitor ComputerPartVisitor, which is inherited by Monitor, Mouse, Keyboard, Computer, which accepts ComputerPartVisitor parameter of computerPartVisitor. It is a public interface. The only method of ComputerPart is accept (void). 2 methods ( main method of class Test and accept method of class Computer ) call accept and accept calls no methods.",0.021108356757799124,1.1748926342762718,0.15217391304347827,0.6198961734771729
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,ComputerPartDisplayVisitor.java,"The ComputerPartDisplayVisitor class implements the ComputerPartVisitor interface, serving as a Concrete Visitor. This visitor defines specific actions for displaying each ComputerPart type such as Computer, Mouse, Keyboard, Monitor.","visitor: ComputerPartDisplayVisitor acts as a visitor for element Computer, which overrides visit method of Computer, visit method of Computer, visit method of Computer, visit method of Computer, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. ComputerPartDisplayVisitor acts as a visitor for element Keyboard, which overrides visit method of Keyboard, visit method of Keyboard, visit method of Keyboard, visit method of Keyboard, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. ComputerPartDisplayVisitor acts as a visitor for element ComputerPart, which overrides visit method of ComputerPart, visit method of ComputerPart, visit method of ComputerPart, visit method of ComputerPart, which visits Computer parameter of computer, which visits Mouse pa...",0.008167672287288433,0.39923804383845046,0.12121212121212122,0.6810650825500488
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,ComputerPartVisitor.java,"The ComputerPartVisitor is an interface of Visitor role, specifying a set of operations that can be performed on each type of ComputerPart element that are Computer, Mouse, Keyboard, Monitor.","visitor: ComputerPartVisitor acts as a visitor for element Computer, which is inherited by ComputerPartDisplayVisitor, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. ComputerPartVisitor acts as a visitor for element Keyboard, which is inherited by ComputerPartDisplayVisitor, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. ComputerPartVisitor acts as a visitor for element Monitor, which is inherited by ComputerPartDisplayVisitor, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. ComputerPartVisitor acts as a visitor for element ComputerPart, which is inherited by ComputerPartDisplayVisitor, which visits Computer parameter ...",0.005265593854405061,0.4527043832131394,0.13924050632911394,0.6408427953720093
AbdurRKhalid,Visitor,AbdurRKhalid/Behavioral/Visitor,Keyboard.java,"The Keyboard class is a Concrete Element, implementing the ComputerPart interface to accept a visitor.","visitor: Keyboard acts as an element for visitor, which overrides accept method of ComputerPart. Keyboard acts as an element for visitor ComputerPartVisitor, which is inherited by, which accepts ComputerPartVisitor parameter of computerPartVisitor. It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Keyboard is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.",0.0157257046002237,0.4949554531414428,0.14634146341463417,0.6321979761123657
