project,method_name,class_name,gt_summary,llm_summary,cosine_similarity,bert_precision,bert_recall,bert_f1
jEdit,getFlag,Buffer,"This method gets the flag int and returns a boolean. That boolean is used by methods that is the temporary and that saves the view. GetFlag() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""return getFlag(TEMPORARY);"".","Returns the boolean value of a specified flag for the buffer, used extensively in conditional checks to test buffer state properties such as whether the buffer is untitled, read-only, or has other attributes.",0.22415139679428311,0.842394,0.8363496,0.83936095
jEdit,getProperty,PropertyManager,This method gets the property and returns a String. GetProperty() seems far more important than average because it is not called by any methods.,"Retrieves a property value as a String by name from the managed property store. Used in assignment contexts to obtain configuration or site-level property values, as seen in `String value = site.getProperty(name)`.",0.1377532720014265,0.8576404,0.867425,0.86250496
jEdit,setProperty,PropertyManager,This method sets the property. SetProperty() seems far more important than average because it is not called by any methods.,"Sets a named property to the specified value within the `PropertyManager`, serving as the primary mechanism for storing or updating property entries in the system.",0.15665815594234425,0.85878444,0.85971713,0.85925055
jEdit,getDefaultProperty,PropertyManager,"This method gets the default property and returns a String. That String is used by methods that gets the property and that sets the property. GetDefaultProperty() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""else return getDefaultProperty(name);"".","Retrieves the default value for a named property, serving as a delegating helper called by at least three other methods to resolve property defaults.",0.22726840899811587,0.8803877,0.85014653,0.8650029
jEdit,getInputHandler,View,This method gets the input handler and returns an InputHandler. That InputHandler is used by methods that handles the pass key event to view and that gets the input handler. GetInputHandler() seems far more important than average because it is called by 5 methods.,"Returns the input handler associated with this view, used to manage keyboard input processing. Typically called when initializing a new `DefaultInputHandler` that needs a reference to the current view's input handler.",0.34651972546464455,0.8792205,0.87583447,0.8775242
jEdit,invoke,BshMethod,This method invokes the object and returns an Object. Invoke() seems far more important than average because it is not called by any methods.,"Invokes the method with the provided arguments and interpreter context, returning the resulting value as an Object. Serves as the primary entry point for executing a BshMethod within the BeanShell scripting environment.",0.19409167329279559,0.8616878,0.88390714,0.87265605
jEdit,event,JThis,"This method handles the event. Return data is used by some methods that handles the caret update. Return data is used by some methods that handles the vetoable change. Event() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""event(""vetoableChange"",e);"".","Fires a named event with a given value, typically used to notify listeners of state changes such as ancestor modifications.",0.07217320431787075,0.8537551,0.81628627,0.8346004
jEdit,BeginToken,JavaCharStream,"This method begins the token and returns a char. That char is used by a method that gets the token. BeginToken() seems far more important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""curChar=input_stream.BeginToken();"".","Begins a new token by reading and returning the first character from the input stream, typically called to mark the start of token recognition in a lexical analyzer.",0.23514235328043714,0.8699507,0.8407787,0.855116
jEdit,readChar,JavaCharStream,"This method reads the char and returns a char. That char is used by methods that gets the token and that begins the token. ReadChar() seems far more important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""input_stream.readChar();"".","Reads and returns the next character from the input stream, advancing the stream position. Called frequently across the codebase as a core character-reading operation within the `JavaCharStream` class.",0.23550506354428827,0.875723,0.8485663,0.86193085
jEdit,getEndColumn,JavaCharStream,"This method gets the end column and returns an int. That int is used by methods that fills the token and that gets the token. GetEndColumn() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_column=input_stream.getEndColumn();"".","Returns the column number of the last character of the most recently read token, used when reinitializing or tracking position within a character stream.",0.1926577125457302,0.8476952,0.8276444,0.8375498
jEdit,getEndLine,JavaCharStream,"This method gets the end line and returns an int. That int is used by methods that gets the token and that fills the token. GetEndLine() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_line=input_stream.getEndLine();"".","Returns the line number of the end position of the last character read from the stream, typically used when reinitializing the input stream to preserve the current position.",0.23848162452897856,0.86100996,0.8299407,0.8451899
jEdit,backup,JavaCharStream,"This method backups the int. Return data is used by a method that reads the char. Return data is used by a method that gets the token. Backup() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""if (jjmatchedPos + 1 < curPos) input_stream.backup(curPos - jjmatchedPos - 1);"".","Backs up the stream by a specified number of characters, effectively rewinding the current position in the character buffer. Typically called during tokenization when a lookahead character needs to be ""unread"" and reprocessed.",0.1636394315607907,0.84489536,0.81683767,0.8306296
jEdit,GetImage,JavaCharStream,"This method gets the image and returns a String. That String is used by methods that fills the token and that gets the token. GetImage() seems far more important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""error_after=curPos <= 1 ? """" : input_stream.GetImage();"".","Returns the current token image as a String from the character stream, used to retrieve the matched token text during lexical analysis.",0.28485201994335596,0.8741982,0.82447547,0.8486091
jEdit,getNode,NameSpace,"This method gets the node and returns a SimpleNode. That SimpleNode is used by methods that gets the script stack trace and that gets the node. GetNode() seems far more important than average because it is called by 4 methods. The method can be used in an assignment statement ; for example: ""if (parent != null) return parent.getNode();"".","Returns the `SimpleNode` associated with this `NameSpace`, typically used to retrieve the underlying AST node for further processing or inspection.",0.22774150757518258,0.8454249,0.8336369,0.8394895
jEdit,getMethod,NameSpace,This method gets the method and returns a BshMethod. GetMethod() seems far more important than average because it is not called by any methods.,"Retrieves a `BshMethod` by name from the namespace, returning the corresponding method object. Typically used in assignment contexts where a specific method needs to be looked up within a `NameSpace` instance, such as resolving event handler methods by name.",0.1764882645951572,0.85357106,0.8828268,0.86795247
