Project,Folder Name,File Name,Summary
"AbdurRKhalid","AbstractFactory","WindowsOSFactory.java","The WindowsOSFactory class is part of the Factory pattern and provides methods to create, create, check. The createButton method creates a button and returns an object as part of the Factory pattern. The createCheckBox method creates operations and returns an object as part of the Factory pattern."
"AbdurRKhalid","AbstractFactory","WindowsButton.java","The WindowsButton class acts as an abstract product in the abstract_factory pattern for managing button. The paint method performs. The WindowsButton class acts as an abstract product in the abstract_factory pattern."
"AbdurRKhalid","AbstractFactory","Button.java","The Button class acts as an abstract product in the abstract_factory pattern for managing button. The paint method performs. The Button class acts as an abstract product in the abstract_factory pattern."
"AbdurRKhalid","AbstractFactory","Test.java","The Test class acts as a facade in the facade pattern. The main method performs using a parameter."
"AbdurRKhalid","AbstractFactory","CheckBox.java","The CheckBox class acts as an abstract product in the abstract_factory pattern. The paint method performs."
"AbdurRKhalid","AbstractFactory","MacOSFactory.java","The MacOSFactory class is part of the Factory pattern and provides methods to create, create, check. The createButton method creates a button and returns an object as part of the Factory pattern. The createCheckBox method creates operations and returns an object as part of the Factory pattern."
"AbdurRKhalid","AbstractFactory","MacOSButton.java","The MacOSButton class acts as an abstract product in the abstract_factory pattern for managing button. The paint method performs. The MacOSButton class acts as an abstract product in the abstract_factory pattern."
"AbdurRKhalid","AbstractFactory","WindowsCheckBox.java","The WindowsCheckBox class acts as an abstract product in the abstract_factory pattern. The paint method performs."
"AbdurRKhalid","AbstractFactory","Application.java","The Application class. The paint method performs."
"AbdurRKhalid","AbstractFactory","MacOSCheckBox.java","The MacOSCheckBox class acts as an abstract product in the abstract_factory pattern. The paint method performs."
"AbdurRKhalid","AbstractFactory","GUIFactory.java","The GUIFactory class acts as a factory in the abstract_factory pattern and provides methods to create, create, check. The createButton method creates product objects as part of the abstract_factory pattern. The createCheckBox method creates product objects as part of the abstract_factory pattern."
"AbdurRKhalid","Adapter","RoundHole.java","The RoundHole class provides methods to get. The getRadius method retrieves and returns a number. The fits method performs using a parameter and returns a boolean."
"AbdurRKhalid","Adapter","RoundPeg.java","The RoundPeg class acts as a target in the adapter pattern and provides methods to get. The getRadius method retrieves and returns a number. The RoundPeg class acts as a target in the adapter pattern."
"AbdurRKhalid","Adapter","Test.java","The Test class. The main method performs using a parameter."
